Wall time,Step,Value
1586110154.790776,0,24.75
1586110218.951348,7,22.25
1586110338.43406,21,23.25
1586110456.7878342,36,25.375
1586110578.983196,50,23.375
1586890399.794749,64,25.125
1586890455.021833,70,25.875
1586890576.258569,83,24.25
1586890694.035488,98,26.5
1586890814.365814,112,24.25
1586890937.290339,126,26.625
1586891056.354862,140,24.25
1586891176.4908018,154,25.5
1586891295.217133,168,25.625
1586891414.46617,183,28.875
1586891535.232357,197,21.5
1586891654.123344,211,23.5
1586891775.196637,225,25.0
1586891896.013547,239,26.625
1586892019.144299,252,26.0
1586892136.350464,264,25.0
1586892259.534313,275,26.0
1586892376.347837,287,26.0
1586892497.4192178,298,25.0
1586892619.837739,309,25.25
1586892739.745203,320,24.875
1586892856.112101,332,25.125
1586892978.592684,343,23.5
1586893098.100651,355,24.5
1586893217.1555588,367,23.75
1586893336.775841,378,24.125
1586893459.6260989,389,24.625
1586893580.6383948,400,26.75
1586893696.213245,411,25.5
1586893816.012473,422,23.625
1586893937.7687008,434,23.375
1586894058.355953,445,24.0
1586894175.746502,457,24.25
1586894296.895906,469,23.75
1586894418.24544,480,23.5
