Wall time,Step,Value
1586110154.790776,0,8.25
1586110218.951348,7,7.416666507720947
1586110338.43406,21,7.75
1586110456.7878342,36,8.458333015441895
1586110578.983196,50,7.791666507720947
1586890399.794749,64,8.375
1586890455.021833,70,8.625
1586890576.258569,83,8.083333015441895
1586890694.035488,98,8.833333015441895
1586890814.365814,112,8.083333015441895
1586890937.290339,126,8.875
1586891056.354862,140,8.083333015441895
1586891176.4908018,154,8.5
1586891295.217133,168,8.541666984558105
1586891414.46617,183,9.625
1586891535.232357,197,7.166666507720947
1586891654.123344,211,7.833333492279053
1586891775.196637,225,8.333333015441895
1586891896.013547,239,8.875
1586892019.144299,252,8.666666984558105
1586892136.350464,264,8.333333015441895
1586892259.534313,275,8.666666984558105
1586892376.347837,287,8.666666984558105
1586892497.4192178,298,8.333333015441895
1586892619.837739,309,8.416666984558105
1586892739.745203,320,8.291666984558105
1586892856.112101,332,8.375
1586892978.592684,343,7.833333492279053
1586893098.100651,355,8.166666984558105
1586893217.1555588,367,7.916666507720947
1586893336.775841,378,8.041666984558105
1586893459.6260989,389,8.208333015441895
1586893580.6383948,400,8.916666984558105
1586893696.213245,411,8.5
1586893816.012473,422,7.875
1586893937.7687008,434,7.791666507720947
1586894058.355953,445,8.0
1586894175.746502,457,8.083333015441895
1586894296.895906,469,7.916666507720947
1586894418.24544,480,7.833333492279053
