Wall time,Step,Value
1586110154.790776,0,14.191866874694824
1586110218.951348,7,10.757853507995605
1586110338.43406,21,6.702394485473633
1586110456.7878342,36,5.916193008422852
1586110578.983196,50,6.527007102966309
1586890399.794749,64,5.147829532623291
1586890455.021833,70,5.0607147216796875
1586890576.258569,83,3.76212215423584
1586890694.035488,98,3.6360769271850586
1586890814.365814,112,3.3507771492004395
1586890937.290339,126,3.098346471786499
1586891056.354862,140,3.6522974967956543
1586891176.4908018,154,2.5876033306121826
1586891295.217133,168,2.737994432449341
1586891414.46617,183,2.338446855545044
1586891535.232357,197,2.5792994499206543
1586891654.123344,211,2.1163063049316406
1586891775.196637,225,2.1729509830474854
1586891896.013547,239,2.206554651260376
1586892019.144299,252,2.6416304111480713
1586892136.350464,264,2.4288218021392822
1586892259.534313,275,2.023344039916992
1586892376.347837,287,2.1879453659057617
1586892497.4192178,298,2.072258949279785
1586892619.837739,309,2.389396905899048
1586892739.745203,320,2.315119981765747
1586892856.112101,332,2.143127202987671
1586892978.592684,343,1.6985585689544678
1586893098.100651,355,1.7002100944519043
1586893217.1555588,367,1.9754620790481567
1586893336.775841,378,1.6783459186553955
1586893459.6260989,389,1.69001042842865
1586893580.6383948,400,1.5793098211288452
1586893696.213245,411,1.7399983406066895
1586893816.012473,422,2.022353410720825
1586893937.7687008,434,1.5898003578186035
1586894058.355953,445,1.5077580213546753
1586894175.746502,457,1.8142355680465698
1586894296.895906,469,1.788714051246643
1586894418.24544,480,1.506040096282959
