,OBJECTID,PIN,TAX_ID,ADDRESS,ACREAGE,ACRE_PL,ACRE_CR,TAX_TYPE,REV_DATE,CVT_NAME,COM_DIST_C,MSN_URL,TAX_URL,BSA_ID,Shape,GlobalID,Shape.area,Shape.len
1,228977,08-07-352-014,08-07-352-014,53432 FITZGERALD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.68947219537~-82.9726994156439&style=o&sp=Point.42.68947219537_-82.9726994156439_08-07-352-014_53432 FITZGERALD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-014&SearchFocus=All+Records&uid=259,20-08-07-352-014,,{16C8689C-FFB1-4B30-BC33-3210678A7885},8752.19,390.04
2,228988,08-07-353-017,08-07-353-017,53410 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.689088270577~-82.9745449667272&style=o&sp=Point.42.689088270577_-82.9745449667272_08-07-353-017_53410 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-017&SearchFocus=All+Records&uid=259,20-08-07-353-017,,{921B1763-8161-4E6E-A466-872D738A173F},10891.04,421.49
3,228989,08-07-353-001,08-07-353-001,53554 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6904142800255~-82.9745994657304&style=o&sp=Point.42.6904142800255_-82.9745994657304_08-07-353-001_53554 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-001&SearchFocus=All+Records&uid=259,20-08-07-353-001,,{19A64760-FCA6-4A10-8410-F04B85BB3CC5},10899.78,421.67
4,228990,08-07-353-003,08-07-353-003,15316 AMBERFIELD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6903785372646~-82.9739541689223&style=o&sp=Point.42.6903785372646_-82.9739541689223_08-07-353-003_15316 AMBERFIELD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-003&SearchFocus=All+Records&uid=259,20-08-07-353-003,,{D29356D1-832A-4329-B496-CEAB2C43E1C3},9105.66,391.78
5,229928,08-07-352-021,08-07-352-021,15360 PIERMONT DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6886335268682~-82.9736851807952&style=o&sp=Point.42.6886335268682_-82.9736851807952_08-07-352-021_15360 PIERMONT DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-021&SearchFocus=All+Records&uid=259,20-08-07-352-021,,{DBBF3D54-6EEE-40EE-9344-E3BAB2D73EEF},8724.29,389.39
6,229929,08-07-353-014,08-07-353-014,15373 PIERMONT DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.68913452329~-82.9736190451046&style=o&sp=Point.42.68913452329_-82.9736190451046_08-07-353-014_15373 PIERMONT DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-014&SearchFocus=All+Records&uid=259,20-08-07-353-014,,{C2E5B285-92A2-4553-BEED-0FC4B33696BE},9029.96,390.51
7,229930,08-07-353-020,08-07-353-020,53482 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.68975125667~-82.9745722034647&style=o&sp=Point.42.68975125667_-82.9745722034647_08-07-353-020_53482 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-020&SearchFocus=All+Records&uid=259,20-08-07-353-020,,{2C46B5BE-5FAF-428D-A8A9-7B2559473FF6},9415.56,396.87
8,229931,08-07-351-002,08-07-351-002,53587 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6907522424211~-82.9753006104441&style=o&sp=Point.42.6907522424211_-82.9753006104441_08-07-351-002_53587 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-351-002&SearchFocus=All+Records&uid=259,20-08-07-351-002,,{45CB4E23-C98C-4145-A4DE-C8B45F43A26D},9099.73,399.97
9,230731,08-07-352-022,08-07-352-022,15334 PIERMONT DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6886318552686~-82.9739452671078&style=o&sp=Point.42.6886318552686_-82.9739452671078_08-07-352-022_15334 PIERMONT DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-022&SearchFocus=All+Records&uid=259,20-08-07-352-022,,{D4EB51C8-C9C9-4F13-BC75-3CB57962AAEF},8721.48,389.3
10,230732,08-07-352-020,08-07-352-020,15386 PIERMONT DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6886352028192~-82.9734250998475&style=o&sp=Point.42.6886352028192_-82.9734250998475_08-07-352-020_15386 PIERMONT DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-020&SearchFocus=All+Records&uid=259,20-08-07-352-020,,{7BB83928-C586-42B7-9990-8B583F62E67E},8728.36,389.5
